num_leaves,max_depth,min_child_samples,best iteration,model size,train rmse,test rmse,test rmse stddev
150,200,5,2774,39255979,764022,4349686,133267.80943024537
100,200,5,3709,34882936,899541,4358235,133713.7450669293
50,200,5,4935,23453607,1354747,4351404,117638.7533237478
31,200,5,6690,20015442,1598217,4371928,123101.63496796426
25,200,5,7350,17905977,1767324,4377314,121917.77379929136
20,200,5,7775,15344226,1992021,4391018,133356.07896574348
10,200,5,9707,10233764,2716246,4462827,137585.2237056454
1000,200,3,778,72075137,266159,4559696,133821.42739251183
500,200,3,1349,62487065,335055,4448424,133987.40175408535
300,200,3,1893,52671050,457198,4385665,136055.47266041138
250,200,3,1968,45633070,556228,4378988,131759.3845941119
200,200,3,2465,45698505,555869,4359156,132439.58088944718
150,200,3,3177,44143068,610889,4351062,139987.15879217398
100,200,3,4175,38616310,752211,4351073,132422.61169883053
50,200,3,6065,28483913,1086643,4353311,133018.65418464394
31,200,3,7111,21076239,1459458,4367771,139230.3698275046
25,200,3,7755,18739783,1641279,4374603,139145.8078659075
20,200,3,8605,16870533,1816970,4384525,149092.94167607874
10,200,3,9303,9779565,2721725,4473426,137818.86221378055
1000,200,2,1067,100244251,182230,4562324,132643.61301396549
500,200,2,1909,89607432,182603,4447286,120698.49939088277
300,200,2,2299,64711062,332789,4394541,132607.83958835207
250,200,2,2358,55277534,413346,4374647,135580.85795569912
200,200,2,3079,57719119,410986,4363751,134953.5308473441
150,200,2,3350,47022858,570992,4352560,141785.02415791323
100,200,2,4067,37967099,758714,4351997,126431.76585927891
50,200,2,6062,28671100,1048784,4351119,121631.15465073238
31,200,2,7166,21355832,1430620,4366505,127191.07454550285
25,200,2,6847,16615597,1746512,4368171,140264.9252352872
20,200,2,7697,15145765,1926168,4396288,128750.16341782724
10,200,2,9554,10065461,2666798,4472045,133825.41301433442
1000,100,50,499,28617214,1852458,4606327,151741.03413201167
500,100,50,606,26182900,1783718,4591961,152467.07335461627
300,100,50,796,20655822,1883366,4528145,149063.07566574815
250,100,50,977,21110228,1861713,4505060,150163.17094792397
200,100,50,1206,20850236,1849330,4479719,153174.10309964864
150,100,50,1519,19692284,1914528,4469880,150354.69037242112
100,100,50,2176,18789463,1967749,4453423,140674.60955433294
50,100,50,3553,15647613,2223664,4448306,140342.75627734826
31,100,50,4996,13968111,2433976,4455679,133907.19550033563
25,100,50,6135,14036844,2473561,4463315,137179.9236102758
20,100,50,6422,11977420,2689821,4468653,127420.31886947894
10,100,50,9573,9742459,3158393,4516330,144755.53035827575
1000,100,40,439,31301027,1664559,4591896,156014.1053549763
500,100,40,592,25465387,1613630,4551929,163699.51137929485
300,100,40,848,21906684,1700756,4487467,154572.8169804535
